model,build_year,price,hubraum,power,co2,fuel_type,mileage_city,mileage_road,mileage_mixed,note
Skoda Oktavia,2017,22125.65,1.4,110,124,benzin,6.8,4.5,5.3,-
Kia ceed,2017,25000,1.4,73,,benzin,8.8,5.3,6.6,-
